W,T,R
0.673,0.9675539000000001,0.0324429
0.674,0.9674588,0.0325383
0.675,0.967618,0.0323789
0.676,0.9678278,0.0321694
0.677,0.9679013999999999,0.0320956
0.678,0.9678323,0.0321643
0.679,0.967778,0.0322191
0.68,0.9679095,0.0320878
0.681,0.9682401,0.0317568
0.682,0.9686083000000001,0.0313895
0.683,0.9687901999999999,0.031207500000000003
0.684,0.9686763,0.031321
0.685,0.9683092000000001,0.031688299999999996
0.686,0.9678319000000001,0.0321653
0.687,0.9673972000000001,0.0326001
0.688,0.9670886,0.0329083
0.689,0.9669093,0.0330875
0.69,0.9668275,0.033169699999999996
0.691,0.9668156,0.033181600000000006
0.692,0.9668714,0.0331262
0.693,0.9670011,0.0329967
0.694,0.967201,0.0327965
0.695,0.9674640999999999,0.032533
0.696,0.96777,0.0322268
0.697,0.9680822,0.0319151
0.698,0.9683305,0.0316672
0.699,0.9684411,0.031556
0.7,0.9683659,0.0316317
0.701,0.9681211999999999,0.0318759
0.702,0.9678107,0.0321868
0.703,0.9675856,0.0324122
0.704,0.9675673,0.0324305
0.705,0.9677755,0.032222100000000004
0.706,0.968123,0.0318744
0.707,0.9684698,0.0315277
0.708,0.9687164,0.031281500000000004
0.709,0.9688442,0.031153300000000002
0.71,0.9689093,0.031087600000000003
0.711,0.9689815,0.031016400000000003
0.712,0.9690791,0.0309183
0.713,0.9691594000000001,0.030839099999999998
0.714,0.9691559,0.0308414
0.715,0.9690485,0.030948600000000003
0.716,0.9688842,0.0311137
0.717,0.9687570999999999,0.031240399999999998
0.718,0.9687563,0.0312412
0.719,0.9689063,0.0310913
0.72,0.9691573,0.030840100000000002
0.721,0.9694219,0.0305753
0.722,0.9696295,0.0303674
0.723,0.9697602000000001,0.0302377
0.724,0.9698311,0.0301666
0.725,0.9698686,0.030129299999999998
0.726,0.9698711,0.0301263
0.727,0.9698125000000001,0.030184799999999998
0.728,0.9696651,0.0303329
0.729,0.9694305,0.0305676
0.73,0.9691534,0.0308439
0.731,0.9689041,0.0310935
0.732,0.9687357,0.031262
0.733,0.9686635,0.0313345
0.734,0.9686648999999999,0.031332399999999996
0.735,0.9687094,0.0312877
0.736,0.968784,0.031214
